year,co2_source,mass
1931,coal_co2,19.35
1932,coal_co2,20.218
1933,coal_co2,21.42
1934,coal_co2,22.49
1935,coal_co2,24.952
1936,coal_co2,26.725
1937,coal_co2,28.491
1938,coal_co2,27.857
1939,coal_co2,31.804
1940,coal_co2,28.689
1941,coal_co2,34.203
1942,coal_co2,36.222
1943,coal_co2,34.793
1944,coal_co2,33.991
1945,coal_co2,32.346
1946,coal_co2,35.057
1947,coal_co2,37.571
1948,coal_co2,37.911
1949,coal_co2,37.116
1950,coal_co2,44.071
1951,coal_co2,46.097
1952,coal_co2,47.027
1953,coal_co2,48.232
1954,coal_co2,51.135
1955,coal_co2,51.248
1956,coal_co2,51.245
1957,coal_co2,51.626
1958,coal_co2,52.655
1959,coal_co2,56.689
1960,coal_co2,58.928
1961,coal_co2,59.975
1962,coal_co2,61.486
1963,coal_co2,63.728
1964,coal_co2,67.133
1965,coal_co2,71.06
1966,coal_co2,71.4
1967,coal_co2,75.405
1968,coal_co2,76.585
1969,coal_co2,77.977
1970,coal_co2,74.293
1971,coal_co2,74.262
1972,coal_co2,77.737
1973,coal_co2,79.714
1974,coal_co2,85.203
1975,coal_co2,86.943
1976,coal_co2,88.87
1977,coal_co2,96.182
1978,coal_co2,104.08
1979,coal_co2,107.315
1980,coal_co2,117.986
1981,coal_co2,121.143
1982,coal_co2,123.473
1983,coal_co2,122.29
1984,coal_co2,127.947
1985,coal_co2,135.689
1986,coal_co2,134.458
1987,coal_co2,147.394
1988,coal_co2,150.502
1989,coal_co2,161.791
1990,coal_co2,142.497
1991,coal_co2,147.307
1992,coal_co2,151.004
1993,coal_co2,151.373
1994,coal_co2,154.669
1995,coal_co2,157.261
1996,coal_co2,162.662
1997,coal_co2,171.244
1998,coal_co2,180.054
1999,coal_co2,184.875
2000,coal_co2,186.942
2001,coal_co2,191.835
2002,coal_co2,194.077
2003,coal_co2,197.462
2004,coal_co2,204.293
2005,coal_co2,201.452
2006,coal_co2,206.942
2007,coal_co2,204.714
2008,coal_co2,207.416
2009,coal_co2,203.142
2010,coal_co2,200.253
2011,coal_co2,192.845
2012,coal_co2,187.515
2013,coal_co2,174.256
2014,coal_co2,170.393
2015,coal_co2,174.961
2016,coal_co2,181.724
2017,coal_co2,176.972
2018,coal_co2,169.64
2019,coal_co2,164.066
2020,coal_co2,159.817
1860,flaring_co2,0.0
1861,flaring_co2,0.0
1862,flaring_co2,0.0
1863,flaring_co2,0.0
1864,flaring_co2,0.0
1865,flaring_co2,0.0
1866,flaring_co2,0.0
1867,flaring_co2,0.0
1868,flaring_co2,0.0
1869,flaring_co2,0.0
1870,flaring_co2,0.0
1871,flaring_co2,0.0
1872,flaring_co2,0.0
1873,flaring_co2,0.0
1874,flaring_co2,0.0
1875,flaring_co2,0.0
1876,flaring_co2,0.0
1877,flaring_co2,0.0
1878,flaring_co2,0.0
1879,flaring_co2,0.0
1880,flaring_co2,0.0
1881,flaring_co2,0.0
1882,flaring_co2,0.0
1883,flaring_co2,0.0
1884,flaring_co2,0.0
1885,flaring_co2,0.0
1886,flaring_co2,0.0
1887,flaring_co2,0.0
1888,flaring_co2,0.0
1889,flaring_co2,0.0
1890,flaring_co2,0.0
1891,flaring_co2,0.0
1892,flaring_co2,0.0
1893,flaring_co2,0.0
1894,flaring_co2,0.0
1895,flaring_co2,0.0
1896,flaring_co2,0.0
1897,flaring_co2,0.0
1898,flaring_co2,0.0
1899,flaring_co2,0.0
1900,flaring_co2,0.0
1901,flaring_co2,0.0
1902,flaring_co2,0.0
1903,flaring_co2,0.0
1904,flaring_co2,0.0
1905,flaring_co2,0.0
1906,flaring_co2,0.0
1907,flaring_co2,0.0
1908,flaring_co2,0.0
1909,flaring_co2,0.0
1910,flaring_co2,0.0
1911,flaring_co2,0.0
1912,flaring_co2,0.0
1913,flaring_co2,0.0
1914,flaring_co2,0.0
1915,flaring_co2,0.0
1916,flaring_co2,0.0
1917,flaring_co2,0.0
1918,flaring_co2,0.0
1919,flaring_co2,0.0
1920,flaring_co2,0.0
1921,flaring_co2,0.0
1922,flaring_co2,0.0
1923,flaring_co2,0.0
1924,flaring_co2,0.0
1925,flaring_co2,0.0
1926,flaring_co2,0.0
1927,flaring_co2,0.0
1928,flaring_co2,0.0
1929,flaring_co2,0.0
1930,flaring_co2,0.0
1931,flaring_co2,0.0
1932,flaring_co2,0.0
1933,flaring_co2,0.0
1934,flaring_co2,0.0
1935,flaring_co2,0.0
1936,flaring_co2,0.0
1937,flaring_co2,0.0
1938,flaring_co2,0.0
1939,flaring_co2,0.0
1940,flaring_co2,0.0
1941,flaring_co2,0.0
1942,flaring_co2,0.0
1943,flaring_co2,0.0
1944,flaring_co2,0.0
1945,flaring_co2,0.0
1946,flaring_co2,0.0
1947,flaring_co2,0.0
1948,flaring_co2,0.0
1949,flaring_co2,0.0
1950,flaring_co2,0.0
1951,flaring_co2,0.0
1952,flaring_co2,0.0
1953,flaring_co2,0.0
1954,flaring_co2,0.0
1955,flaring_co2,0.0
1956,flaring_co2,0.0
1957,flaring_co2,0.0
1958,flaring_co2,0.0
1959,flaring_co2,0.0
1960,flaring_co2,0.0
1961,flaring_co2,0.0
1962,flaring_co2,0.0
1963,flaring_co2,0.0
1964,flaring_co2,0.0
1965,flaring_co2,0.0
1966,flaring_co2,0.0
1967,flaring_co2,0.0
1968,flaring_co2,0.0
1969,flaring_co2,0.0
1970,flaring_co2,0.0
1971,flaring_co2,0.0
1972,flaring_co2,0.0
1973,flaring_co2,0.0
1974,flaring_co2,0.0
1975,flaring_co2,0.0
1976,flaring_co2,0.0
1977,flaring_co2,0.0
1978,flaring_co2,0.0
1979,flaring_co2,0.0
1980,flaring_co2,0.0
1981,flaring_co2,0.0
1982,flaring_co2,0.0
1983,flaring_co2,0.44
1984,flaring_co2,0.275
1985,flaring_co2,0.352
1986,flaring_co2,0.319
1987,flaring_co2,0.256
1988,flaring_co2,0.348
1989,flaring_co2,0.535
1990,flaring_co2,7.304
1991,flaring_co2,7.06
1992,flaring_co2,7.35
1993,flaring_co2,7.197
1994,flaring_co2,7.03
1995,flaring_co2,7.131
1996,flaring_co2,6.858
1997,flaring_co2,6.83
1998,flaring_co2,6.996
1999,flaring_co2,7.23
2000,flaring_co2,8.003
2001,flaring_co2,8.248
2002,flaring_co2,8.131
2003,flaring_co2,7.236
2004,flaring_co2,6.93
2005,flaring_co2,6.942
2006,flaring_co2,7.137
2007,flaring_co2,7.549
2008,flaring_co2,7.583
2009,flaring_co2,7.854
2010,flaring_co2,8.179
2011,flaring_co2,7.905
2012,flaring_co2,8.217
2013,flaring_co2,8.743
2014,flaring_co2,9.398
2015,flaring_co2,10.877
2016,flaring_co2,12.593
2017,flaring_co2,14.869
2018,flaring_co2,16.954
2019,flaring_co2,20.102
2020,flaring_co2,20.341
1860,gas_co2,0.0
1861,gas_co2,0.0
1862,gas_co2,0.0
1863,gas_co2,0.0
1864,gas_co2,0.0
1865,gas_co2,0.0
1866,gas_co2,0.0
1867,gas_co2,0.0
1868,gas_co2,0.0
1869,gas_co2,0.0
1870,gas_co2,0.0
1871,gas_co2,0.0
1872,gas_co2,0.0
1873,gas_co2,0.0
1874,gas_co2,0.0
1875,gas_co2,0.0
1876,gas_co2,0.0
1877,gas_co2,0.0
1878,gas_co2,0.0
1879,gas_co2,0.0
1880,gas_co2,0.0
1881,gas_co2,0.0
1882,gas_co2,0.0
1883,gas_co2,0.0
1884,gas_co2,0.0
1885,gas_co2,0.0
1886,gas_co2,0.0
1887,gas_co2,0.0
1888,gas_co2,0.0
1889,gas_co2,0.0
1890,gas_co2,0.0
1891,gas_co2,0.0
1892,gas_co2,0.0
1893,gas_co2,0.0
1894,gas_co2,0.0
1895,gas_co2,0.0
1896,gas_co2,0.0
1897,gas_co2,0.0
1898,gas_co2,0.0
1899,gas_co2,0.0
1900,gas_co2,0.0
1901,gas_co2,0.0
1902,gas_co2,0.0
1903,gas_co2,0.0
1904,gas_co2,0.0
1905,gas_co2,0.0
1906,gas_co2,0.0
1907,gas_co2,0.0
1908,gas_co2,0.0
1909,gas_co2,0.0
1910,gas_co2,0.0
1911,gas_co2,0.0
1912,gas_co2,0.0
1913,gas_co2,0.0
1914,gas_co2,0.0
1915,gas_co2,0.0
1916,gas_co2,0.0
1917,gas_co2,0.0
1918,gas_co2,0.0
1919,gas_co2,0.0
1920,gas_co2,0.0
1921,gas_co2,0.0
1922,gas_co2,0.0
1923,gas_co2,0.0
1924,gas_co2,0.0
1925,gas_co2,0.0
1926,gas_co2,0.0
1927,gas_co2,0.0
1928,gas_co2,0.0
1929,gas_co2,0.0
1930,gas_co2,0.0
1931,gas_co2,0.0
1932,gas_co2,0.0
1933,gas_co2,0.0
1934,gas_co2,0.0
1935,gas_co2,0.0
1936,gas_co2,0.0
1937,gas_co2,0.0
1938,gas_co2,0.0
1939,gas_co2,0.0
1940,gas_co2,0.0
1941,gas_co2,0.0
1942,gas_co2,0.0
1943,gas_co2,0.0
1944,gas_co2,0.0
1945,gas_co2,0.0
1946,gas_co2,0.0
1947,gas_co2,0.0
1948,gas_co2,0.0
1949,gas_co2,0.0
1950,gas_co2,0.0
1951,gas_co2,0.0
1952,gas_co2,0.0
1953,gas_co2,0.0
1954,gas_co2,0.0
1955,gas_co2,0.0
1956,gas_co2,0.0
1957,gas_co2,0.0
1958,gas_co2,0.0
1959,gas_co2,0.0
1960,gas_co2,0.0
1961,gas_co2,0.0
1962,gas_co2,0.004
1963,gas_co2,0.007
1964,gas_co2,0.007
1965,gas_co2,0.007
1966,gas_co2,0.007
1967,gas_co2,0.007
1968,gas_co2,0.011
1969,gas_co2,0.487
1970,gas_co2,2.755
1971,gas_co2,4.1
1972,gas_co2,5.844
1973,gas_co2,6.485
1974,gas_co2,7.709
1975,gas_co2,8.369
1976,gas_co2,9.259
1977,gas_co2,11.051
1978,gas_co2,13.802
1979,gas_co2,15.286
1980,gas_co2,17.671
1981,gas_co2,20.361
1982,gas_co2,22.53
1983,gas_co2,22.79
1984,gas_co2,24.05
1985,gas_co2,30.147
1986,gas_co2,28.092
1987,gas_co2,28.972
1988,gas_co2,29.686
1989,gas_co2,30.345
1990,gas_co2,34.606
1991,gas_co2,33.061
1992,gas_co2,34.186
1993,gas_co2,35.973
1994,gas_co2,37.837
1995,gas_co2,40.225
1996,gas_co2,40.332
1997,gas_co2,41.95
1998,gas_co2,44.09
1999,gas_co2,45.961
2000,gas_co2,46.885
2001,gas_co2,49.769
2002,gas_co2,51.353
2003,gas_co2,50.233
2004,gas_co2,53.059
2005,gas_co2,54.681
2006,gas_co2,56.509
2007,gas_co2,61.4
2008,gas_co2,62.615
2009,gas_co2,62.222
2010,gas_co2,64.172
2011,gas_co2,66.729
2012,gas_co2,67.124
2013,gas_co2,68.821
2014,gas_co2,72.773
2015,gas_co2,72.362
2016,gas_co2,75.956
2017,gas_co2,76.405
2018,gas_co2,79.77
2019,gas_co2,81.576
2020,gas_co2,80.208
1860,oil_co2,0.0
1861,oil_co2,0.0
1862,oil_co2,0.0
1863,oil_co2,0.0
1864,oil_co2,0.0
1865,oil_co2,0.0
1866,oil_co2,0.0
1867,oil_co2,0.0
1868,oil_co2,0.0
1869,oil_co2,0.0
1870,oil_co2,0.0
1871,oil_co2,0.0
1872,oil_co2,0.0
1873,oil_co2,0.0
1874,oil_co2,0.0
1875,oil_co2,0.0
1876,oil_co2,0.0
1877,oil_co2,0.0
1878,oil_co2,0.0
1879,oil_co2,0.0
1880,oil_co2,0.0
1881,oil_co2,0.0
1882,oil_co2,0.0
1883,oil_co2,0.0
1884,oil_co2,0.0
1885,oil_co2,0.0
1886,oil_co2,0.0
1887,oil_co2,0.0
1888,oil_co2,0.0
1889,oil_co2,0.0
1890,oil_co2,0.0
1891,oil_co2,0.0
1892,oil_co2,0.0
1893,oil_co2,0.0
1894,oil_co2,0.0
1895,oil_co2,0.0
1896,oil_co2,0.0
1897,oil_co2,0.0
1898,oil_co2,0.0
1899,oil_co2,0.121
1900,oil_co2,0.121
1901,oil_co2,0.234
1902,oil_co2,0.11
1903,oil_co2,0.169
1904,oil_co2,0.168
1905,oil_co2,0.179
1906,oil_co2,0.18
1907,oil_co2,0.213
1908,oil_co2,0.191
1909,oil_co2,0.224
1910,oil_co2,0.0
1911,oil_co2,0.0
1912,oil_co2,0.0
1913,oil_co2,0.0
1914,oil_co2,0.0
1915,oil_co2,0.0
1916,oil_co2,0.0
1917,oil_co2,0.0
1918,oil_co2,0.0
1919,oil_co2,0.0
1920,oil_co2,0.0
1921,oil_co2,0.0
1922,oil_co2,0.0
1923,oil_co2,0.0
1924,oil_co2,0.0
1925,oil_co2,0.0
1926,oil_co2,0.0
1927,oil_co2,0.0
1928,oil_co2,0.0
1929,oil_co2,0.0
1930,oil_co2,0.0
1931,oil_co2,0.0
1932,oil_co2,0.0
1933,oil_co2,0.0
1934,oil_co2,0.0
1935,oil_co2,0.0
1936,oil_co2,0.0
1937,oil_co2,0.0
1938,oil_co2,0.0
1939,oil_co2,0.0
1940,oil_co2,0.0
1941,oil_co2,0.0
1942,oil_co2,0.0
1943,oil_co2,0.0
1944,oil_co2,0.0
1945,oil_co2,0.0
1946,oil_co2,0.0
1947,oil_co2,0.0
1948,oil_co2,0.0
1949,oil_co2,0.0
1950,oil_co2,10.036
1951,oil_co2,12.322
1952,oil_co2,12.502
1953,oil_co2,10.414
1954,oil_co2,15.759
1955,oil_co2,18.441
1956,oil_co2,20.727
1957,oil_co2,21.742
1958,oil_co2,23.739
1959,oil_co2,25.725
1960,oil_co2,27.81
1961,oil_co2,29.115
1962,oil_co2,31.884
1963,oil_co2,35.658
1964,oil_co2,39.944
1965,oil_co2,47.907
1966,oil_co2,46.994
1967,oil_co2,51.842
1968,oil_co2,55.96
1969,oil_co2,61.53
1970,oil_co2,68.204
1971,oil_co2,71.954
1972,oil_co2,71.318
1973,oil_co2,82.037
1974,oil_co2,76.71
1975,oil_co2,77.93
1976,oil_co2,73.452
1977,oil_co2,77.898
1978,oil_co2,81.48
1979,oil_co2,79.688
1980,oil_co2,82.222
1981,oil_co2,85.675
1982,oil_co2,85.063
1983,oil_co2,76.889
1984,oil_co2,81.407
1985,oil_co2,71.91
1986,oil_co2,73.947
1987,oil_co2,76.352
1988,oil_co2,77.208
1989,oil_co2,81.436
1990,oil_co2,89.229
1991,oil_co2,88.986
1992,oil_co2,88.475
1993,oil_co2,91.155
1994,oil_co2,93.923
1995,oil_co2,97.078
1996,oil_co2,100.104
1997,oil_co2,100.485
1998,oil_co2,100.518
1999,oil_co2,101.308
2000,oil_co2,102.976
2001,oil_co2,103.536
2002,oil_co2,106.127
2003,oil_co2,110.743
2004,oil_co2,114.938
2005,oil_co2,116.944
2006,oil_co2,118.868
2007,oil_co2,120.161
2008,oil_co2,123.968
2009,oil_co2,120.643
2010,oil_co2,124.384
2011,oil_co2,130.295
2012,oil_co2,132.536
2013,oil_co2,134.566
2014,oil_co2,139.45
2015,oil_co2,137.945
2016,oil_co2,138.745
2017,oil_co2,139.585
2018,oil_co2,142.785
2019,oil_co2,141.899
2020,oil_co2,124.606
